state,jurisdiction_type,county_name,municipality,name,address,polling_place_type,ElectionDate
NM,county,Bernalillo,Albuquerque,VCC 68 - West Mesa High School,"6701 Fortuna Rd NW, Albuquerque, NM, 87121",vote_center,11/04/2014
NM,county,Bernalillo,Tijeras,VCC 20 - A Montoya Elementary School,"24 Public School Rd, Tijeras, NM, 87059",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 26 - Chaparral Elementary School,"6325 Milne Rd NW, Albuquerque, NM, 87120",vote_center,11/04/2014
NM,county,Bernalillo,Tijeras,VCC 33 - Forest Meadow Baptist Church,"54 Hwy 217, Tijeras, NM, 87059",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 41 - Jefferson Middle School,"712 Girard Blvd NE, Albuquerque, NM, 87106",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 47 - Manzano High School,"12200 Lomas Blvd NE, Albuquerque, NM, 87112",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 52 - Onate Elementary School,"12415 Brentwood Hills Blvd NE, Albuquerque, NM, 87112",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 61 - Valle Vista Elementary School,"1700 Mae Ave SW, Albuquerque, NM, 87105",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,ED - SPARE 01,"SPARE, Albuquerque, NM, 87102",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 22 - Albuquerque High School,"800 Odelia Rd NE, Albuquerque, NM, 87102",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 24 - Bandelier Elementary School,"3309 Pershing Ave SE, Albuquerque, NM, 87106",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 31 - Eisenhower Middle School,"11001 Camero Rd NE, Albuquerque, NM, 87111",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 56 - Rio Grande High School,"2300 Arenal Rd SW, Albuquerque, NM, 87105",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 64 - Ventana Ranch Elementary School,"6801 Ventana Village Rd NW, Albuquerque, NM, 87114",vote_center,11/04/2014
NM,county,Bernalillo,Sandia Park,VCC 65 - Vista Grande Community Center,"15 La Madera Rd, Sandia Park, NM, 87047",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 45 - Lyndon B Johnson Middle School,"6811 Taylor Ranch Rd NW, Albuquerque, NM, 87120",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 13 - Los Ranchos Villa,"6601 4th St NW, Suite E F, Albuquerque, NM, 87107",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 54 - Polk Middle School,"2220 Raymac Rd SW, Albuquerque, NM, 87105",vote_center,11/04/2014
NM,county,Bernalillo,To'Hajiilee,VCC 08 - Desiderio Community Center ,"117 Tribal Rd 7036, To'Hajiilee, NM, 87026",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 29 - Double Eagle Elementary School,"8901 Lowell Dr NE, Albuquerque, NM, 87122",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 34 - Garfield Middle School,"3501 6th St NW, Albuquerque, NM, 87107",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 53 - Pajarito Elementary School,"2701 Don Felipe SW, Albuquerque, NM, 87105",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 14 - Petroglyph Plaza,"8201 Golf Course Rd, Suite D-1, Albuquerque, NM, 87120",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 15 - South Valley Multi Purpose Senior Center,"2008 Larrazolo Rd SW, Albuquerque, NM, 87105",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 57 - Rudolfo Anaya Elementary School,"2800 Vermejo Park Dr SW, Albuquerque, NM, 87121",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 07 - Daskalos Center,"5339 Menaul Blvd NE, Albuquerque, NM, 87110",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 37 - Highland High School,"4700 Coal Ave SE, Albuquerque, NM, 87108",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 39 - Hubert H Humphrey Elementary School,"9801 Academy Hills Dr NE, Albuquerque, NM, 87111",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 51 - Mountain View Community Center,"201 Prosperity Ave SE, Albuquerque, NM, 87105",vote_center,11/04/2014
NM,county,Bernalillo,Los Ranchos De Albuquerque,VCC 59 - Taylor Middle School,"8200 Guadalupe Tr NW, Los Ranchos De Albuquerque, NM, 87114",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 49 - McKinley Middle School,"4500 Comanche Rd NE, Albuquerque, NM, 87110",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 28 - Del Norte High School,"5323 Montgomery Blvd NE, Albuquerque, NM, 87110",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 46 - Madison Middle School,"3501 Moon St NE, Albuquerque, NM, 87111",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 60 - Truman Middle School,"9400 Benavides Rd SW, Albuquerque, NM, 87121",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 04 - Caracol Plaza,"12500 Montgomery Blvd NE, Suite 101 , Albuquerque, NM, 87111",vote_center,11/04/2014
NM,county,Bernalillo,Albuquerque,VCC 10 - Holly Plaza,"6600 Holly Ave NE, Suite B-6, Albuquerque, NM, 87113",vote_center,11/04/2014
